,stature,weightkg,crotchheight,waistcircumference,size,color
1794,1773,940,848,1113,large,lightsteelblue
1795,1804,966,891,946,xl,cornflowerblue
1796,1702,653,824,823,medium,slategrey
1797,1809,773,834,862,large,lightsteelblue
1798,1797,1235,839,1211,large,lightsteelblue
1799,1879,842,887,855,large,lightsteelblue
1800,1862,1012,872,970,xl,cornflowerblue
1801,1767,775,840,855,large,lightsteelblue
1802,1771,940,854,1012,large,lightsteelblue
1803,1748,958,812,1057,large,lightsteelblue
1804,1703,760,812,974,large,lightsteelblue
1805,1743,906,856,974,large,lightsteelblue
1806,1798,973,859,1004,large,lightsteelblue
1807,1889,1129,923,1120,xxl,royalblue
1808,1792,895,859,940,large,lightsteelblue
1809,1741,640,812,825,medium,slategrey
1810,1679,745,804,881,medium,slategrey
1811,1803,823,869,794,large,lightsteelblue
1812,1702,882,795,1016,medium,slategrey
1813,1707,582,818,761,medium,slategrey
1814,1807,1026,891,1137,xl,cornflowerblue
1815,1774,825,825,875,large,lightsteelblue
